Player,G,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,CP,Champs
Bin,12,8,4,66.70%,4.25,2.25,5.17,4.19,264.92,8.1,13.5,413,18k,549.4,55.90%,25.20%,21.90%,4,
Elk,12,8,4,66.70%,4.83,2.75,7.25,4.39,316,9.67,14.9,456,25.6k,781.8,71.80%,28.70%,24.20%,6,
knight,12,8,4,66.70%,5.25,2.5,7.25,5,266.08,8.14,13.6,415,22.3k,683.1,74.30%,31.20%,22%,9,
ON,12,8,4,66.70%,0.42,4.33,11.08,2.65,36.83,1.13,8.1,248,4.8k,146.3,68.30%,2.50%,13.20%,7,
XUN,9,7,2,77.80%,2.44,2.44,10.56,5.32,209.89,6.26,12.1,359,13.4k,399.9,74.50%,14%,18.80%,6,
Wei,3,1,2,33.30%,1,4,11.33,3.08,164.33,5.45,9.8,327,13.3k,439.8,82.20%,6.70%,18.20%,2,
Aiming,9,3,6,33.30%,5,2,4.67,4.83,360.22,10.04,16.2,450,23.4k,652.7,77%,39.80%,25.60%,6,
Kingen,9,3,6,33.30%,1.67,3.56,4.67,1.78,269.78,7.52,13.2,367,17.4k,483.5,50.40%,13.30%,20.90%,8,
Lucid,9,3,6,33.30%,1.89,4.56,6,1.73,189.56,5.28,11.1,309,10k,278.9,62.80%,15%,17.60%,6,
Moham,9,3,6,33.30%,0.44,5.11,9.22,1.89,38.22,1.06,8.5,238,5.4k,149.6,77%,3.50%,13.60%,7,
ShowMaker,9,3,6,33.30%,3.56,2.67,4.78,3.13,291.67,8.13,14,390,22.3k,622.7,66.40%,28.30%,22.20%,7,
Busio,14,7,7,50%,1.07,2.5,8.07,3.66,37.93,1.14,8.2,246,5.4k,162.2,73.10%,8.60%,13.60%,7,
Bwipo,14,7,7,50%,2.14,4.14,4.86,1.69,269.43,8.07,12.9,385,17.2k,515.7,56%,17.10%,21.30%,8,
Inspired,14,7,7,50%,1.07,2.07,8.64,4.69,210.86,6.31,11.3,338,11.5k,345.1,77.70%,8.60%,18.70%,8,
Massu,14,7,7,50%,4.21,2.07,5,4.45,311.21,9.32,14.5,434,21.9k,655.8,73.70%,33.70%,24%,5,
Quad,14,7,7,50%,4,1.79,5.36,5.24,285.29,8.54,13.6,408,21.2k,634,74.90%,32%,22.50%,8,
Humanoid,6,2,4,33.30%,2.33,3.33,4.83,2.15,279.17,9.06,12.3,398,17.4k,564.9,62.30%,20.30%,22.40%,5,
Jun,6,2,4,33.30%,0.67,3.17,8.5,2.89,32.17,1.04,7.3,235,4.7k,151.2,79.70%,5.80%,13.20%,2,
Noah,6,2,4,33.30%,4.5,1.5,4.33,5.89,300.33,9.74,13.7,445,21.1k,683.9,76.80%,39.10%,25%,5,
Oscarinin,6,2,4,33.30%,2,3.5,4.83,1.95,225.67,7.32,11,355,11.5k,373.8,59.40%,17.40%,20%,5,
Razork,6,2,4,33.30%,2,3.17,7.83,3.11,202.33,6.56,10.7,346,13k,423.2,85.50%,17.40%,19.40%,4,
BrokenBlade,8,3,5,37.50%,3.38,2.5,5.88,3.7,288.5,8.12,14.2,399,17.8k,501.3,64.90%,23.70%,21.50%,6,
Caps,8,3,5,37.50%,2.38,2.75,7.5,3.59,313,8.81,14.4,404,21.7k,611.9,69.30%,16.70%,21.90%,4,
Hans Sama,8,3,5,37.50%,4.75,3.13,4.88,3.08,329.75,9.28,15.7,442,21.1k,593.6,67.50%,33.30%,23.90%,7,
Mikyx,8,3,5,37.50%,0.63,5.63,9.38,1.78,35.88,1.01,8.7,245,4.4k,122.5,70.20%,4.40%,13.20%,4,
Yike,8,3,5,37.50%,3.13,2.38,7.63,4.53,226.38,6.37,12.8,361,15k,421.6,75.40%,21.90%,19.50%,5,
Easylove,8,3,5,37.50%,3.88,2.38,4.25,3.42,275.75,9.22,12.3,411,17.6k,589.2,63.10%,30.10%,23.10%,5,
Elio,8,3,5,37.50%,0.63,3.13,8.25,2.84,38.13,1.27,7.1,239,5k,167.8,68.90%,4.90%,13.40%,4,
Emo,8,3,5,37.50%,2.75,2.38,4.75,3.16,270.13,9.03,11.9,397,15k,503.2,58.30%,21.40%,22.20%,5,
Kiaya,8,3,5,37.50%,3.38,2.63,5.25,3.29,237.75,7.95,11.7,390,18.3k,612.1,67%,26.20%,21.80%,5,
Levi,8,3,5,37.50%,2.25,3.63,6.13,2.31,188.75,6.31,10.4,348,11.6k,386.4,65%,17.50%,19.50%,4,
Canyon,10,7,3,70%,2,1.7,9,6.47,213.7,6.29,11.7,345,11.7k,344.4,72.40%,13.20%,18.40%,5,
Chovy,10,7,3,70%,5.3,1.4,5.6,7.79,322.7,9.5,15.2,449,22.9k,674.4,71.70%,34.90%,23.90%,6,
Kiin,10,7,3,70%,2.6,2.5,6.8,3.76,271.3,7.98,13.1,386,18.8k,552.7,61.80%,17.10%,20.60%,6,
Lehends,10,7,3,70%,0.6,3.3,9.8,3.15,36.4,1.07,8.4,247,6.3k,185.7,68.40%,3.90%,13.20%,5,
Peyz,10,7,3,70%,4.7,1.4,7.1,8.43,320.7,9.44,15.2,448,24.3k,714.6,77.60%,30.90%,23.90%,8,
Delight,12,6,6,50%,0.5,3.25,10,3.23,43.75,1.26,8.4,242,5k,144.4,75%,3.60%,13.20%,6,
Doran,12,6,6,50%,3.17,3,5.5,2.89,275.5,7.95,13.4,387,15.4k,443.6,61.90%,22.60%,21.10%,4,
Peanut,12,6,6,50%,1,3.25,10.67,3.59,198.25,5.72,11.1,320,10.1k,291.3,83.30%,7.10%,17.50%,7,
Viper,12,6,6,50%,5.58,2.5,5,4.23,361.58,10.43,16,463,27.2k,785.8,75.60%,39.90%,25.30%,8,
Zeka,12,6,6,50%,3.75,2.75,6.17,3.61,316.75,9.14,14.5,419,23.3k,673,70.80%,26.80%,22.90%,6,
